"Показник","Територіальний розріз","Категорія розрізу","Розріз","Кількість працівників","Вид економічної діяльності","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Конфіденційність","Примітки часового ряду","Примітки спостереження","2018","2019","2020","2021","2022","2023","2024"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з фізичними особами","Усього","Постачання електроенергії, газу, пари та кондиційованого повітря","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","1.4","0.1","1.9","1.2","0.7"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з фізичними особами","Усього","Операції з нерухомим майном","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","0.7","1.1","0.8","1.2","1.4"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Усього","Машинобудування; виробництво меблів, іншої продукції, ремонт і монтаж машин і устаткування","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","3.7","2.8","4.5","3.4","4.0"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з фізичними особами","Усього","Комп`ютерне програмування та надання інших інформаційних послуг","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","3.9","8.9","9.5","8.6","6.0"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Усього","Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","6.7","5.9","5.2","6.5","9.4"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з фізичними особами","Усього","Транспорт, складське господарство, поштова та кур'єрська діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","2.6","1.8","3.0","2.6","3.4"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Усього","Виробництво електричного устатковання","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","5.8","1.4","4.2","1.9","4.5"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Усього","Постачання електроенергії, газу, пари та кондиційованого повітря","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","0.8","0.9","2.1","0.8","1.7"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти чи вебдодатки, які використовуються декількома підприємствами","Кількість зайнятих працівників від 50 до 249 осіб","Усього","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","3.5","1.8","2.7","3.1","5.1"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Усього","Виготовлення виробів з деревини, паперу та  поліграфічна діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","4.3","2.8","3.7","3.2","4.9"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з фізичними особами","Усього","Виробництво харчових продуктів, напоїв і тютюнових виробів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","3.6","2.8","4.2","4.3","4.6"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Кількість зайнятих працівників 250 осіб і більше","Усього","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","5.3","4.3","6.1","5.9","6.7"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Тимчасове розміщування й організація харчування","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","1.5","0.6","0.7","2.5","1.1"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Усього","Постачання електроенергії, газу, пари та кондиційованого повітря; водопостачання; каналізація, поводження з відходами","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","0.7","0.4","0.8","0.7","1.3"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Водопостачання; каналізація, поводження з відходами","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Явищ не було./Not observed.; 2. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","1.5","","","0.1","0.1"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Усього","Видавнича діяльність, радіомовлення, телебачення","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","5.1","6.0","2.5","7.0","11.7"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти чи вебдодатки, які використовуються декількома підприємствами","Кількість зайнятих працівників від 10 до 49 осіб","Усього","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","2.2","2.0","2.5","2.1","2.6"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти чи вебдодатки, які використовуються декількома підприємствами","Усього","Тимчасове розміщування","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","29.1","24.5","20.7","25.6","52.8"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Усього","Транспорт, складське господарство, поштова та кур'єрська діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","1.6","2.1","3.2","3.4","2.0"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Усього","Операції з нерухомим майном","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","0.5","0.8","0.6","0.9","0.9"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти або вебдодатки з підприємствами та органами державної влади","Усього","Наукові дослідження та розробки","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","3.6","3.6","3.7","3.9","5.8"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Повідомлення типу EDI","Усього","Професійна, наукова та технічна діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","0.9","","0.5","1.9","1.5"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Вебсайти чи вебдодатки, які використовуються декількома підприємствами","Усього","Професійна, наукова та технічна діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","0.8","1.6","0.4","0.8","1.0"
"Частка кількості підприємств, які здійснювали електронну торгівлю, у загальній кількості підприємств","Україна","Тип електронної комерції","Власний вебсайт чи вебдодатки","Усього","Усього","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Інформація сформована на основі фактично поданих підприємствами звітів та проведених дооцінок показників./The information has been compiled on the basis of reports actually submitted by enterprises and additional estimates of indicators.","","","3.9","3.6","4.3","4.5","6.1"
