"Показник","Територіальний розріз","Кількість працівників","Вид економічної діяльності","Періодичність","Одиниця виміру","Масштабування","Кількість десяткових знаків","Конфіденційність","Примітки часового ряду","Примітки спостереження","2018","2019","2020","2021","2022","2023","2024","2025"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виробництво хімічних речовин і хімічної продукції","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","49.8","50.4","","49.9","","","53.0","58.9"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виробництво коксу та продуктів нафтоперероблення; виробництво хімічних речовин і хімічної продукції; виробництво основних фармацевтичних продуктів і фармацевтичних препаратів; виробництво гумових і пластмасових виробів; виробництво іншої неметалевої мінеральної продукції","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","46.6","45.2","","48.5","","","50.1","52.9"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Інформаційно-комунікаційні технології (ІКТ) – усього","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","58.3","54.2","","52.2","","","57.7","55.1"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Транспорт, складське господарство, поштова та кур'єрська діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","22.4","22.1","","21.4","","","21.4","21.5"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Операції з нерухомим майном","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","23.4","24.5","","23.6","","","23.8","21.2"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Постачання електроенергії, газу, пари та кондиційованого повітря","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","42.2","43.0","","41.8","","","46.8","50.8"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Усього","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","35.6","35.2","","35.3","","","38.2","38.7"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Кількість зайнятих працівників від 50 до 249 осіб","Усього","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","47.7","47.7","","47.8","","","49.6","51.9"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виробництво гумових і пластмасових виробів, іншої неметалевої мінеральної продукції","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","45.0","42.7","","47.2","","","47.6","50.3"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Виробництво основних фармацевтичних продуктів і фармацевтичних препаратів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","62.4","64.3","","66.7","","","70.6","62.7"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Текстильне виробництво, виробництво одягу, шкіри, виробів зі шкіри та інших матеріалів","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","26.9","27.8","","28.3","","","32.6","36.3"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Тимчасове розміщування","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","63.3","62.0","","60.2","","","65.6","67.5"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Комп`ютерне програмування та надання інших інформаційних послуг","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.","1. Збір та розрахунок даних не здійснювався згідно із затвердженою статистичною методологією./Data collection and calculation was not carried out in accordance with the approved statistical methodology.","50.7","50.3","","49.3","","","49.4","46.4"
"Частка кількості підприємств, що мають вебсайт, у загальній кількості підприємств","Україна","Усього","Рекламна діяльність і дослідження кон'юнктури ринку, інша професійна, наукова та технічна діяльність, ветеринарна діяльність","Річна","Відсоток","Одиниці","Один","","1. Дані наведено без урахування тимчасово окупованої території Автономної Республіки Крим, м. Севастополя та частини тимчасово окупованих територій у Донецькій та Луганській областях, з 2022 року – без урахування тимчасово окупованих російською федерацією територій та частини територій, на яких ведуться (велися) бойові дії./Data exclude the temporarily occupied territory of the Autonomous Republic of Crimea, the city of Sevastopol and a part of temporarily occupied territories in the Donetsk and Luhansk regions, data from 2022 exclude the territories which are temporarily occupied by the russian federation and part of territories where the military actions are/were conducted.; 2. З 2023 року дані за розділом 75 ""Ветеринарна діяльність"" включаються до угрупування ""Рекламна діяльність і дослідження кон'юнктури ринку; інша професійна, наукова та технічна діяльність; ветеринарна діяльність"" (розділи 73+74+75 за КВЕД) згідно з вимогами Регламенту (ЄС) № 2019/2152 від 27.11.2019./From 2023, data under division  75 ""Veterinary activities"" are included in the grouping ""Advertising activities and market research; other professional, scientific and technical activities; veterinary activities"" (divisions 73+74+75 according to the NACE Rev. 2) in accordance with the requirements of Regulation (EU) No. 2019/2152 of 27.11.2019.","","","","","","","","51.4","49.0"
